server_num,chat_interactions,chatters,peaceful_players,players_killed,killers,silent_killers,player_population
1,1078,221,1597,0,0,0,1597
2,1135,277,4054,4456,783,621,4817
3,25153,773,5125,54326,2014,1474,7129
4,8506,821,8649,2998,452,207,9101
5,39526,2166,18092,4872,853,390,18944
6,637,100,3223,1652,207,167,3430
7,3635,289,2170,1705,309,173,2477
8,29892,1071,4038,84977,2301,1452,6338
9,5074,223,1824,3462,266,133,2088
10,116,25,301,99,29,20,330
11,1698,175,1852,1918,383,301,2235
12,2150,181,2394,6402,488,352,2878
13,14758,1475,16978,14841,2366,1803,19276
14,1789,108,2024,1960,223,159,2246
